product,price,quantity,date
Mouse,1131,1,2024-05-21T00:00:00.000Z
Smartwatch,1566,4,2024-12-04T00:00:00.000Z
Smartwatch,863,6,2024-03-05T00:00:00.000Z
Laptop,768,4,2023-11-25T00:00:00.000Z
Laptop,566,3,2023-02-17T00:00:00.000Z
Monitor,935,4,2022-12-12T00:00:00.000Z
Keyboard,1253,5,2024-11-19T00:00:00.000Z
Headphones,699,2,2024-05-10T00:00:00.000Z
Laptop,1951,1,2022-09-27T00:00:00.000Z
Phone,988,8,2023-09-20T00:00:00.000Z
Headphones,705,4,2023-01-29T00:00:00.000Z
Laptop,1180,4,2024-05-27T00:00:00.000Z
Mouse,1198,2,2022-02-01T00:00:00.000Z
Mouse,682,4,2023-05-10T00:00:00.000Z
Headphones,675,10,2024-12-05T00:00:00.000Z
Phone,777,8,2023-05-23T00:00:00.000Z
Headphones,1811,2,2023-07-20T00:00:00.000Z
Monitor,587,9,2024-01-26T00:00:00.000Z
Monitor,949,10,2023-08-27T00:00:00.000Z
Smartwatch,1093,5,2024-03-03T00:00:00.000Z
Smartwatch,1994,3,2024-11-02T00:00:00.000Z
Smartwatch,1667,5,2023-11-05T00:00:00.000Z
Keyboard,1908,5,2024-09-16T00:00:00.000Z
Tablet,1362,5,2023-07-31T00:00:00.000Z
Headphones,1809,8,2023-06-05T00:00:00.000Z
Smartwatch,608,5,2022-01-12T00:00:00.000Z
Laptop,1277,2,2022-08-10T00:00:00.000Z
Headphones,1473,2,2024-12-09T00:00:00.000Z
Smartwatch,892,6,2023-10-22T00:00:00.000Z
Headphones,1366,2,2022-05-05T00:00:00.000Z
Keyboard,1248,9,2023-09-13T00:00:00.000Z
Smartwatch,1833,4,2022-06-01T00:00:00.000Z
Tablet,1042,7,2023-11-08T00:00:00.000Z
Tablet,1118,10,2024-03-22T00:00:00.000Z
Tablet,1569,4,2022-04-08T00:00:00.000Z
Tablet,1571,6,2022-04-28T00:00:00.000Z
Smartwatch,795,1,2022-03-16T00:00:00.000Z
Laptop,1324,1,2023-12-22T00:00:00.000Z
Laptop,1189,4,2023-08-18T00:00:00.000Z
Laptop,1732,6,2023-10-28T00:00:00.000Z
Keyboard,1705,8,2023-09-20T00:00:00.000Z
Monitor,753,6,2024-05-04T00:00:00.000Z
Mouse,1952,8,2023-05-18T00:00:00.000Z
Headphones,684,6,2024-01-06T00:00:00.000Z
Phone,1930,4,2022-08-13T00:00:00.000Z
Mouse,779,1,2022-09-17T00:00:00.000Z
Monitor,1263,5,2023-06-17T00:00:00.000Z
Smartwatch,725,9,2022-09-10T00:00:00.000Z
Keyboard,1596,9,2023-03-29T00:00:00.000Z
Keyboard,939,7,2022-08-21T00:00:00.000Z
Smartwatch,1417,4,2022-07-31T00:00:00.000Z
Mouse,833,5,2024-10-23T00:00:00.000Z
Tablet,723,6,2024-03-11T00:00:00.000Z
Laptop,1877,2,2024-10-09T00:00:00.000Z
Monitor,1427,9,2024-11-05T00:00:00.000Z
Smartwatch,1116,10,2022-05-03T00:00:00.000Z
Phone,1076,10,2024-11-14T00:00:00.000Z
Mouse,1739,9,2022-04-19T00:00:00.000Z
Mouse,661,9,2024-12-29T00:00:00.000Z
Mouse,801,5,2022-05-06T00:00:00.000Z
Headphones,1325,3,2023-05-02T00:00:00.000Z
Tablet,1185,9,2023-07-08T00:00:00.000Z
Laptop,775,4,2023-05-03T00:00:00.000Z
Monitor,854,10,2022-10-23T00:00:00.000Z
Tablet,1996,7,2022-01-23T00:00:00.000Z
Phone,1950,3,2023-10-31T00:00:00.000Z
Laptop,677,2,2024-09-01T00:00:00.000Z
Tablet,1436,6,2024-04-02T00:00:00.000Z
Mouse,1443,1,2022-09-29T00:00:00.000Z
Phone,1288,2,2022-01-20T00:00:00.000Z
Laptop,1941,2,2023-07-12T00:00:00.000Z
Monitor,1928,6,2023-02-27T00:00:00.000Z
Keyboard,1914,3,2022-09-18T00:00:00.000Z
Smartwatch,987,2,2022-03-03T00:00:00.000Z
Headphones,1281,9,2024-03-22T00:00:00.000Z
Phone,632,1,2023-04-07T00:00:00.000Z
Tablet,810,4,2024-01-23T00:00:00.000Z
Laptop,1133,6,2024-08-19T00:00:00.000Z
Tablet,935,10,2022-03-02T00:00:00.000Z
Monitor,1660,5,2022-06-21T00:00:00.000Z
Tablet,573,9,2022-10-18T00:00:00.000Z
Headphones,1145,7,2023-04-18T00:00:00.000Z
Phone,730,10,2022-07-16T00:00:00.000Z
Phone,969,8,2024-06-28T00:00:00.000Z
Tablet,1250,4,2023-09-19T00:00:00.000Z
Phone,1717,4,2023-01-17T00:00:00.000Z
Laptop,576,9,2023-05-16T00:00:00.000Z
Monitor,1060,6,2023-01-15T00:00:00.000Z
Tablet,1111,6,2022-11-04T00:00:00.000Z
Keyboard,1697,6,2022-03-19T00:00:00.000Z
Phone,1665,5,2024-04-11T00:00:00.000Z
Laptop,1607,7,2023-09-12T00:00:00.000Z
Keyboard,1695,4,2022-12-11T00:00:00.000Z
Phone,718,5,2024-01-24T00:00:00.000Z
Laptop,1908,10,2022-06-07T00:00:00.000Z
Smartwatch,1069,1,2022-12-12T00:00:00.000Z
Mouse,698,10,2024-12-28T00:00:00.000Z
Mouse,1565,2,2024-09-01T00:00:00.000Z
Tablet,1251,10,2023-05-21T00:00:00.000Z
Smartwatch,711,4,2024-06-01T00:00:00.000Z
Tablet,967,6,2023-12-28T00:00:00.000Z
Headphones,798,1,2024-11-29T00:00:00.000Z
Mouse,785,4,2022-09-07T00:00:00.000Z
Monitor,588,4,2023-11-08T00:00:00.000Z
Laptop,865,9,2023-09-04T00:00:00.000Z
Headphones,1264,8,2024-04-26T00:00:00.000Z
Laptop,1226,3,2024-07-27T00:00:00.000Z
Keyboard,1877,8,2023-11-02T00:00:00.000Z
Keyboard,1197,9,2022-12-19T00:00:00.000Z
Laptop,564,7,2023-11-16T00:00:00.000Z
Tablet,815,10,2024-11-16T00:00:00.000Z
Headphones,585,1,2024-10-05T00:00:00.000Z
Phone,1131,6,2024-12-23T00:00:00.000Z
Smartwatch,846,4,2023-04-30T00:00:00.000Z
Headphones,612,2,2024-09-11T00:00:00.000Z
Laptop,1521,2,2024-01-25T00:00:00.000Z
Smartwatch,1941,2,2023-05-25T00:00:00.000Z
Keyboard,1910,9,2024-11-19T00:00:00.000Z
Tablet,597,7,2024-03-13T00:00:00.000Z
Laptop,674,3,2022-06-08T00:00:00.000Z
Keyboard,1632,7,2023-02-04T00:00:00.000Z
Keyboard,635,2,2023-11-21T00:00:00.000Z
Headphones,788,7,2024-09-22T00:00:00.000Z
Tablet,1295,2,2023-04-30T00:00:00.000Z
Smartwatch,1790,3,2022-02-06T00:00:00.000Z
Laptop,1690,2,2024-02-12T00:00:00.000Z
Tablet,680,8,2022-04-28T00:00:00.000Z
Monitor,670,9,2024-07-11T00:00:00.000Z
Monitor,792,5,2024-11-20T00:00:00.000Z
Monitor,1391,7,2023-07-17T00:00:00.000Z
Phone,1922,2,2024-09-14T00:00:00.000Z
Mouse,1091,1,2024-10-18T00:00:00.000Z
Monitor,1788,10,2024-09-11T00:00:00.000Z
Monitor,749,9,2024-11-04T00:00:00.000Z
Mouse,1498,6,2023-04-19T00:00:00.000Z
Smartwatch,518,7,2024-03-28T00:00:00.000Z
Mouse,1501,6,2023-02-28T00:00:00.000Z
Tablet,1645,9,2024-02-26T00:00:00.000Z
Monitor,1858,4,2024-12-19T00:00:00.000Z
Tablet,1646,10,2023-07-29T00:00:00.000Z
Tablet,655,6,2023-07-30T00:00:00.000Z
Phone,830,7,2022-04-15T00:00:00.000Z
Monitor,1641,6,2023-07-11T00:00:00.000Z
Smartwatch,1653,1,2023-10-17T00:00:00.000Z
Keyboard,1525,10,2022-12-26T00:00:00.000Z
Phone,1242,2,2022-04-27T00:00:00.000Z
Keyboard,670,8,2023-02-21T00:00:00.000Z
Monitor,892,2,2023-01-22T00:00:00.000Z
Headphones,582,10,2024-02-28T00:00:00.000Z
Monitor,1329,2,2024-12-01T00:00:00.000Z
Mouse,1479,8,2022-06-17T00:00:00.000Z
Tablet,1516,8,2024-08-30T00:00:00.000Z
Laptop,1642,9,2024-08-19T00:00:00.000Z
Phone,1843,10,2022-02-23T00:00:00.000Z
Laptop,867,10,2023-05-15T00:00:00.000Z
Mouse,1967,10,2023-08-07T00:00:00.000Z
Phone,1839,2,2022-07-01T00:00:00.000Z
Keyboard,1322,3,2023-02-26T00:00:00.000Z
Mouse,1392,6,2023-08-04T00:00:00.000Z
Laptop,871,2,2023-02-10T00:00:00.000Z
Laptop,654,2,2022-06-02T00:00:00.000Z
Smartwatch,1873,8,2024-02-24T00:00:00.000Z
Mouse,878,10,2023-04-15T00:00:00.000Z
Laptop,674,6,2022-05-09T00:00:00.000Z
Keyboard,1006,7,2024-05-19T00:00:00.000Z
Mouse,1947,2,2023-06-24T00:00:00.000Z
Tablet,909,8,2023-02-25T00:00:00.000Z
Keyboard,1551,9,2024-11-14T00:00:00.000Z
Keyboard,670,8,2022-04-17T00:00:00.000Z
Headphones,601,3,2024-10-15T00:00:00.000Z
Headphones,644,2,2024-02-22T00:00:00.000Z
Monitor,1520,7,2022-07-22T00:00:00.000Z
Phone,1959,6,2022-08-29T00:00:00.000Z
Tablet,806,2,2024-02-20T00:00:00.000Z
Laptop,1612,8,2022-08-12T00:00:00.000Z
Mouse,1887,8,2022-06-06T00:00:00.000Z
Laptop,512,8,2024-03-10T00:00:00.000Z
Headphones,1091,5,2024-11-05T00:00:00.000Z
Smartwatch,1894,3,2023-02-09T00:00:00.000Z
Phone,1275,2,2024-04-12T00:00:00.000Z
Keyboard,942,1,2023-12-25T00:00:00.000Z
Phone,1243,6,2024-11-14T00:00:00.000Z
Laptop,1434,8,2024-07-22T00:00:00.000Z
Mouse,1182,6,2022-05-22T00:00:00.000Z
Mouse,1945,4,2023-03-24T00:00:00.000Z
Keyboard,1991,6,2023-08-12T00:00:00.000Z
Phone,1800,2,2022-04-05T00:00:00.000Z
Phone,1264,9,2024-10-15T00:00:00.000Z
Mouse,1596,1,2023-10-19T00:00:00.000Z
Phone,1228,4,2022-01-26T00:00:00.000Z
Laptop,1265,6,2023-05-22T00:00:00.000Z
Tablet,1427,10,2023-01-19T00:00:00.000Z
Tablet,813,3,2024-02-13T00:00:00.000Z
Keyboard,1040,4,2022-05-04T00:00:00.000Z
Headphones,1527,10,2024-03-13T00:00:00.000Z
Headphones,1384,3,2024-05-02T00:00:00.000Z
Headphones,642,10,2022-03-16T00:00:00.000Z
Keyboard,887,1,2024-01-03T00:00:00.000Z
Laptop,846,8,2024-05-21T00:00:00.000Z
Phone,889,10,2023-01-05T00:00:00.000Z
Phone,1516,1,2022-12-06T00:00:00.000Z
Keyboard,1094,5,2024-09-13T00:00:00.000Z
Smartwatch,1457,7,2022-11-06T00:00:00.000Z
Keyboard,1969,7,2024-07-25T00:00:00.000Z
Keyboard,1673,2,2023-02-22T00:00:00.000Z
Laptop,1192,3,2022-06-10T00:00:00.000Z
Phone,1053,8,2023-09-09T00:00:00.000Z
Monitor,1237,1,2023-08-12T00:00:00.000Z
Mouse,1241,9,2023-08-21T00:00:00.000Z
Monitor,1265,7,2023-05-05T00:00:00.000Z
Keyboard,1572,1,2022-12-13T00:00:00.000Z
Smartwatch,1860,1,2023-05-31T00:00:00.000Z
Mouse,1719,4,2023-03-06T00:00:00.000Z
Tablet,988,8,2024-11-17T00:00:00.000Z
Laptop,1685,7,2023-07-08T00:00:00.000Z
Mouse,1513,9,2024-06-17T00:00:00.000Z
Keyboard,1542,6,2024-10-25T00:00:00.000Z
Phone,965,7,2022-06-28T00:00:00.000Z
Keyboard,1463,2,2024-08-31T00:00:00.000Z
Headphones,1517,9,2023-05-22T00:00:00.000Z
Monitor,1071,6,2023-02-07T00:00:00.000Z
Headphones,547,4,2022-09-10T00:00:00.000Z
Mouse,787,10,2024-09-24T00:00:00.000Z
Headphones,907,6,2023-08-23T00:00:00.000Z
Phone,1915,3,2022-12-05T00:00:00.000Z
Monitor,1900,9,2024-11-07T00:00:00.000Z
Headphones,1045,1,2022-02-10T00:00:00.000Z
Tablet,1050,2,2022-11-11T00:00:00.000Z
Smartwatch,930,5,2023-07-25T00:00:00.000Z
Laptop,1202,4,2022-12-20T00:00:00.000Z
Monitor,955,10,2024-02-14T00:00:00.000Z
Tablet,1937,3,2023-03-18T00:00:00.000Z
Phone,1530,2,2024-04-18T00:00:00.000Z
Laptop,1517,5,2023-04-28T00:00:00.000Z
Mouse,1739,8,2024-12-29T00:00:00.000Z
Smartwatch,1258,7,2023-08-24T00:00:00.000Z
Smartwatch,800,7,2023-07-30T00:00:00.000Z
Monitor,706,8,2023-10-14T00:00:00.000Z
Keyboard,1315,8,2023-07-02T00:00:00.000Z
Tablet,1007,4,2024-03-08T00:00:00.000Z
Monitor,533,8,2022-08-25T00:00:00.000Z
Monitor,743,8,2022-10-24T00:00:00.000Z
Mouse,1710,7,2024-08-13T00:00:00.000Z
Headphones,742,1,2022-11-17T00:00:00.000Z
Mouse,1352,8,2023-12-27T00:00:00.000Z
Laptop,1745,4,2023-08-17T00:00:00.000Z
Headphones,879,1,2022-01-19T00:00:00.000Z
Monitor,904,8,2022-02-20T00:00:00.000Z
Headphones,1026,8,2022-05-17T00:00:00.000Z
Smartwatch,1099,9,2022-04-18T00:00:00.000Z
Smartwatch,1529,1,2023-04-26T00:00:00.000Z
Tablet,1720,3,2022-02-17T00:00:00.000Z
Headphones,854,2,2023-01-12T00:00:00.000Z
Mouse,1287,1,2023-05-31T00:00:00.000Z
Smartwatch,1736,7,2024-08-12T00:00:00.000Z
Monitor,1925,7,2024-11-23T00:00:00.000Z
Mouse,1959,7,2024-06-06T00:00:00.000Z
Smartwatch,934,10,2022-12-23T00:00:00.000Z
Tablet,1495,9,2022-01-26T00:00:00.000Z
Phone,535,1,2023-12-31T00:00:00.000Z
Keyboard,799,6,2022-07-20T00:00:00.000Z
Keyboard,638,7,2023-12-13T00:00:00.000Z
Keyboard,1643,8,2023-06-06T00:00:00.000Z
Keyboard,573,5,2024-11-24T00:00:00.000Z
Tablet,521,7,2022-08-04T00:00:00.000Z
Tablet,1794,7,2023-01-25T00:00:00.000Z
Phone,1932,3,2024-07-14T00:00:00.000Z
Smartwatch,1341,10,2024-04-27T00:00:00.000Z
Phone,732,5,2024-06-02T00:00:00.000Z
Headphones,1384,7,2023-10-04T00:00:00.000Z
Laptop,1946,1,2023-09-12T00:00:00.000Z
Smartwatch,870,9,2024-03-29T00:00:00.000Z
Phone,1504,7,2022-09-15T00:00:00.000Z
Laptop,973,1,2023-05-03T00:00:00.000Z
Monitor,1452,9,2022-06-11T00:00:00.000Z
Phone,628,4,2023-12-04T00:00:00.000Z
Laptop,1218,7,2023-06-22T00:00:00.000Z
Tablet,1541,2,2024-01-09T00:00:00.000Z
Headphones,970,5,2023-12-30T00:00:00.000Z
Smartwatch,1388,5,2022-08-24T00:00:00.000Z
Phone,1610,8,2024-09-20T00:00:00.000Z
Smartwatch,1359,10,2023-03-07T00:00:00.000Z
Mouse,658,7,2023-07-02T00:00:00.000Z
Smartwatch,1263,9,2022-11-27T00:00:00.000Z
Laptop,991,3,2024-03-25T00:00:00.000Z
Smartwatch,1422,9,2023-01-06T00:00:00.000Z
Headphones,906,5,2024-11-22T00:00:00.000Z
Mouse,813,3,2022-02-12T00:00:00.000Z
Mouse,1552,4,2023-08-05T00:00:00.000Z
Laptop,1760,3,2023-11-06T00:00:00.000Z
Smartwatch,1163,5,2023-06-06T00:00:00.000Z
Keyboard,574,8,2022-02-12T00:00:00.000Z
Tablet,936,2,2022-11-05T00:00:00.000Z
Smartwatch,1278,9,2024-06-26T00:00:00.000Z
Mouse,817,7,2023-09-19T00:00:00.000Z
Laptop,722,10,2024-04-23T00:00:00.000Z
Mouse,1563,3,2024-02-21T00:00:00.000Z
Smartwatch,705,9,2023-12-20T00:00:00.000Z
Mouse,1907,5,2024-01-11T00:00:00.000Z
Headphones,1130,3,2024-06-18T00:00:00.000Z
Phone,621,9,2022-06-29T00:00:00.000Z
Smartwatch,839,2,2024-11-19T00:00:00.000Z
Phone,698,3,2023-04-11T00:00:00.000Z
Phone,1557,5,2024-04-04T00:00:00.000Z
Keyboard,1232,10,2022-10-17T00:00:00.000Z
Phone,1527,10,2022-03-30T00:00:00.000Z
Keyboard,1615,7,2024-08-11T00:00:00.000Z
Smartwatch,1562,6,2023-02-16T00:00:00.000Z
Tablet,1396,4,2024-11-30T00:00:00.000Z
Tablet,719,9,2023-06-23T00:00:00.000Z
Keyboard,1689,2,2023-11-24T00:00:00.000Z
Mouse,1956,9,2023-03-06T00:00:00.000Z
Mouse,777,6,2024-11-24T00:00:00.000Z
Smartwatch,687,1,2023-11-01T00:00:00.000Z
Monitor,1555,6,2023-05-29T00:00:00.000Z
Tablet,1014,4,2023-09-13T00:00:00.000Z
Mouse,1772,2,2022-04-10T00:00:00.000Z
Mouse,758,5,2022-07-27T00:00:00.000Z
Monitor,1565,5,2022-03-16T00:00:00.000Z
Phone,1713,1,2022-10-19T00:00:00.000Z
Phone,1289,7,2023-10-18T00:00:00.000Z
Keyboard,1770,7,2022-08-16T00:00:00.000Z
Monitor,545,10,2024-12-19T00:00:00.000Z
Mouse,1540,6,2023-10-27T00:00:00.000Z
Laptop,1205,8,2023-06-03T00:00:00.000Z
Headphones,1663,4,2022-11-04T00:00:00.000Z
Headphones,908,10,2024-06-16T00:00:00.000Z
Monitor,1215,1,2024-09-12T00:00:00.000Z
Smartwatch,1029,3,2024-01-15T00:00:00.000Z
Laptop,1272,9,2022-07-06T00:00:00.000Z
Smartwatch,730,7,2024-11-04T00:00:00.000Z
Tablet,739,4,2023-04-05T00:00:00.000Z
Smartwatch,1321,3,2022-08-08T00:00:00.000Z
Phone,1606,3,2024-07-06T00:00:00.000Z
Mouse,1192,8,2022-11-12T00:00:00.000Z
Mouse,1363,6,2023-05-12T00:00:00.000Z
Tablet,1377,9,2023-05-14T00:00:00.000Z
Phone,1881,10,2022-05-12T00:00:00.000Z
Monitor,1775,3,2023-04-10T00:00:00.000Z
Monitor,1493,8,2024-08-06T00:00:00.000Z
Monitor,1440,7,2024-11-28T00:00:00.000Z
Phone,1726,10,2023-06-11T00:00:00.000Z
Headphones,1073,6,2022-05-13T00:00:00.000Z
Smartwatch,1654,1,2024-02-11T00:00:00.000Z
Keyboard,809,3,2024-06-21T00:00:00.000Z
Laptop,902,10,2024-07-03T00:00:00.000Z
Mouse,1510,8,2024-08-16T00:00:00.000Z
Tablet,1984,9,2024-09-18T00:00:00.000Z
Smartwatch,1835,7,2024-07-17T00:00:00.000Z
Headphones,632,9,2022-05-29T00:00:00.000Z
Headphones,617,3,2024-10-02T00:00:00.000Z
Laptop,1096,9,2023-08-17T00:00:00.000Z
Laptop,1174,3,2023-03-08T00:00:00.000Z
Smartwatch,1244,5,2023-06-19T00:00:00.000Z
Laptop,1471,2,2023-08-24T00:00:00.000Z
Smartwatch,859,1,2024-10-25T00:00:00.000Z
Monitor,1242,2,2023-10-28T00:00:00.000Z
Phone,1320,9,2022-06-28T00:00:00.000Z
Mouse,948,3,2022-12-21T00:00:00.000Z
Headphones,1806,2,2024-12-09T00:00:00.000Z
Smartwatch,1320,5,2024-03-27T00:00:00.000Z
Tablet,1084,8,2023-12-01T00:00:00.000Z
Smartwatch,849,9,2023-11-27T00:00:00.000Z
Laptop,889,6,2024-08-23T00:00:00.000Z
Mouse,519,6,2024-04-11T00:00:00.000Z
Monitor,1583,9,2023-12-22T00:00:00.000Z
Mouse,1641,10,2024-05-19T00:00:00.000Z
Smartwatch,942,9,2022-10-07T00:00:00.000Z
Keyboard,1740,3,2023-01-07T00:00:00.000Z
Mouse,1137,9,2024-07-30T00:00:00.000Z
Mouse,1521,10,2024-07-09T00:00:00.000Z
Keyboard,1386,6,2022-02-17T00:00:00.000Z
Tablet,1554,10,2023-08-12T00:00:00.000Z
Keyboard,1742,8,2024-12-16T00:00:00.000Z
Laptop,1992,2,2023-04-09T00:00:00.000Z
Mouse,812,6,2022-03-07T00:00:00.000Z
Tablet,1925,2,2023-03-07T00:00:00.000Z
Laptop,1569,6,2024-06-22T00:00:00.000Z
Phone,1055,4,2024-06-01T00:00:00.000Z
Phone,1010,2,2022-08-15T00:00:00.000Z
Smartwatch,1926,5,2022-07-15T00:00:00.000Z
Headphones,584,2,2024-07-14T00:00:00.000Z
Tablet,1299,6,2022-12-17T00:00:00.000Z
Phone,1130,2,2022-09-28T00:00:00.000Z
Laptop,1907,6,2024-10-23T00:00:00.000Z
Keyboard,867,5,2022-12-06T00:00:00.000Z
Keyboard,1386,6,2023-06-15T00:00:00.000Z
Tablet,831,9,2023-04-22T00:00:00.000Z
Smartwatch,709,6,2024-05-10T00:00:00.000Z
Headphones,1449,3,2024-06-30T00:00:00.000Z
Laptop,619,2,2024-04-11T00:00:00.000Z
Tablet,1083,9,2023-08-01T00:00:00.000Z
Monitor,1446,9,2023-05-02T00:00:00.000Z
Monitor,1321,4,2022-03-18T00:00:00.000Z
Headphones,1747,7,2022-06-02T00:00:00.000Z
